iter	Passed	Remaining
202	438	1720
203	440	1719
204	442	1714
205	443	1708
206	444	1703
207	445	1697
208	446	1691
209	447	1685
210	449	1679
211	450	1673
212	451	1667
213	452	1662
214	454	1658
215	456	1655
216	457	1650
217	458	1644
218	459	1638
219	460	1633
220	461	1627
221	462	1622
222	464	1616
223	465	1611
224	466	1606
225	467	1600
226	469	1600
227	471	1596
228	473	1592
229	474	1589
230	476	1585
231	478	1584
232	480	1581
233	481	1577
234	485	1579
235	486	1575
236	487	1570
237	489	1566
238	490	1561
239	491	1557
240	493	1553
241	494	1548
242	495	1544
243	497	1541
244	499	1540
245	501	1536
246	502	1531
247	503	1527
248	505	1523
249	507	1521
250	508	1518
251	510	1514
252	511	1511
253	515	1513
254	516	1510
255	518	1507
256	520	1504
257	523	1504
258	524	1500
259	525	1495
260	528	1496
261	530	1494
262	531	1490
263	532	1485
264	534	1481
265	535	1476
266	536	1472
267	537	1467
268	538	1463
269	539	1459
270	540	1454
271	543	1454
272	545	1451
273	546	1447
274	547	1443
275	548	1438
276	549	1434
277	550	1430
278	551	1426
279	553	1422
280	554	1417
281	555	1415
282	558	1414
283	559	1410
284	560	1407
285	561	1402
286	563	1398
287	564	1394
288	565	1390
289	566	1386
290	567	1383
291	568	1379
292	570	1377
293	573	1376
294	574	1372
295	575	1368
296	576	1365
297	578	1362
298	579	1358
299	580	1354
300	581	1351
301	582	1347
302	584	1343
303	586	1343
304	588	1340
305	589	1337
306	590	1333
307	592	1330
308	593	1326
309	594	1322
310	595	1319
311	596	1315
312	597	1311
313	599	1309
314	601	1307
315	602	1304
316	604	1301
317	605	1298
318	606	1294
319	607	1291
320	608	1287
321	609	1283
322	610	1280
323	612	1276
324	614	1275
325	616	1273
326	617	1271
327	618	1268
328	620	1265
329	621	1262
330	623	1259
331	624	1256
332	626	1254
333	630	1256
334	632	1255
335	633	1252
336	635	1249
337	636	1246
338	637	1243
339	639	1240
340	640	1237
341	641	1234
342	644	1234
343	646	1232
344	647	1229
345	649	1226
346	650	1224
347	652	1221
348	653	1218
349	654	1215
350	655	1212
351	658	1211
352	659	1209
353	661	1206
354	662	1203
355	663	1199
356	664	1197
357	665	1194
358	667	1191
359	668	1188
360	669	1184
361	670	1181
362	672	1180
363	674	1178
364	675	1175
365	677	1173
366	678	1170
367	680	1167
368	681	1164
369	682	1161
370	683	1158
371	684	1155
372	685	1152
373	688	1151
374	689	1149
375	690	1146
376	691	1143
377	692	1140
378	694	1137
379	695	1134
380	696	1131
381	697	1128
382	698	1125
383	699	1122
384	702	1122
385	704	1119
386	705	1117
387	706	1114
388	707	1111
389	708	1108
390	710	1106
391	711	1103
392	712	1100
393	713	1097
394	714	1094
395	717	1093
396	718	1091
397	719	1088
398	720	1085
399	722	1083
400	723	1080
401	724	1077
402	725	1074
403	726	1071
404	727	1069
405	728	1066
406	731	1065
407	732	1062
408	733	1060
409	734	1057
410	735	1054
411	737	1051
412	738	1049
413	739	1046
414	740	1043
415	741	1040
416	742	1038
417	743	1035
418	745	1034
419	747	1032
420	749	1030
421	750	1028
422	752	1026
423	753	1024
424	755	1022
425	756	1019
426	757	1017
427	760	1016
428	761	1014
429	763	1011
430	764	1009
431	765	1006
432	766	1004
433	768	1001
434	769	999
435	770	996
436	771	993
437	772	991
438	775	990
439	776	988
440	777	985
441	778	983
442	779	980
443	780	977
444	782	975
445	783	972
446	784	970
447	785	967
448	786	965
449	789	964
450	790	962
451	791	959
452	792	957
453	793	954
454	794	952
455	795	949
456	797	947
457	798	944
458	799	942
